FrameId;SendingTime;Fps
262;1668476977904577065;9
263;1668476978009299085;7
264;1668476978163938308;9
265;1668476978268415676;7
266;1668476978369446003;10
267;1668476978475626819;10
268;1668476978607516776;7
269;1668476978766031311;10
270;1668476978871366008;6
271;1668476979037471261;10
272;1668476979160872687;6
273;1668476979319710900;8
274;1668476979424742434;6
275;1668476979569037012;10
276;1668476979673651782;7
277;1668476979809229485;10
278;1668476979916265981;7
279;1668476980021364751;10
280;1668476980163364359;10
281;1668476980266171741;7
282;1668476980390800072;10
283;1668476980494618971;8
284;1668476980647107654;10
285;1668476980752081661;7
286;1668476980857850329;9
287;1668476980990925312;8
288;1668476981092941799;10
289;1668476981233460028;10
290;1668476981342814078;7
291;1668476981480797786;9
292;1668476981584827854;7
293;1668476981689634833;10
294;1668476981793746901;10
295;1668476981932239585;10
296;1668476982052106541;7
297;1668476982190679948;6
298;1668476982292474180;10
299;1668476982452989375;7
300;1668476982587117725;8
301;1668476982691766778;8
302;1668476982793927770;10
303;1668476982936214186;7
304;1668476983075014710;10
305;1668476983184737256;7
306;1668476983330797666;9
307;1668476983436424003;7
308;1668476983567641877;8
309;1668476983668704293;10
310;1668476983812649741;7
311;1668476983916317609;10
312;1668476984024042281;10
313;1668476984171897566;7
314;1668476984272462137;10
315;1668476984403571658;10
316;1668476984506147222;8
317;1668476984608168687;10
318;1668476984731565892;10
319;1668476984833248368;8
320;1668476984935741158;10
321;1668476985067856714;10
322;1668476985167721995;8
323;1668476985283035860;10
324;1668476985383844426;9
325;1668476985484830406;10
326;1668476985638199118;9
327;1668476985743279819;7
328;1668476985890731182;9
329;1668476985994121798;7
330;1668476986129859743;10
331;1668476986234601122;7
332;1668476986366591046;9
333;1668476986484188423;7
334;1668476986624640278;9
335;1668476986728263396;7
336;1668476986857947433;10
337;1668476987082188839;8
338;1668476987255202741;4
339;1668476987359762610;6
340;1668476987461638962;10
341;1668476987608592273;10
342;1668476987714861431;7
343;1668476987839310071;9
344;1668476987944104171;8
345;1668476988048559354;10
346;1668476988200681234;7
347;1668476988307445307;10
348;1668476988433759178;9
349;1668476988543450761;7
350;1668476988647901213;10
351;1668476988787193505;7
352;1668476988889811905;10
353;1668476989000368375;10
354;1668476989101103679;9
355;1668476989209145421;10
356;1668476989357784256;9
357;1668476989461682526;7
358;1668476989611404440;10
359;1668476989771376099;7
360;1668476989874138246;6
361;1668476989980751788;9
362;1668476990086198211;9
363;1668476990225481068;7
364;1668476990327644387;10
365;1668476990468646092;10
366;1668476990571933142;7
367;1668476990674606910;10
368;1668476990836004003;10
369;1668476990940014258;6
370;1668476991044456345;10
371;1668476991175780839;10
372;1668476991280152068;8
373;1668476991412151557;10
374;1668476991516379309;7
375;1668476991671834891;9
376;1668476991777953261;7
377;1668476991895956839;9
378;1668476991998108182;8
379;1668476992143382404;10
380;1668476992250695581;7
381;1668476992372138488;9
382;1668476992474785538;8
383;1668476992633531244;10
384;1668476992733852829;6
385;1668476992836438841;10
386;1668476992981597822;7
387;1668476993120815554;9
388;1668476993222451046;7
389;1668476993327498280;10
390;1668476993431330089;10
391;1668476993571777507;7
392;1668476993719237435;7
393;1668476993827221305;9
394;1668476993928117026;9
395;1668476994072433057;7
396;1668476994214591225;9
397;1668476994322467267;7
398;1668476994468018859;8
399;1668476994578449601;8
400;1668476994711755083;9
401;1668476994865707229;8
402;1668476994970904931;6
403;1668476995120612668;10
404;1668476995230593046;7
405;1668476995353726175;9
406;1668476995454014080;8
407;1668476995572439462;10
408;1668476995687283607;9
409;1668476995791936284;8
410;1668476995892865337;10
411;1668476996019679929;8
412;1668476996131217540;10
413;1668476996247123679;9
414;1668476996349788272;9
415;1668476996458151860;10
416;1668476996561017778;9
417;1668476996669969915;10
418;1668476996784891825;9
419;1668476996894150670;8
420;1668476997102750633;9
421;1668476997267276873;5
422;1668476997403296033;6
423;1668476997530165909;7
424;1668476997634964752;8
425;1668476997735486388;10
426;1668476997837152028;10
427;1668476997962699926;10
428;1668476998067937319;8
429;1668476998181272111;10
430;1668476998283351276;9
431;1668476998386928613;10
432;1668476998493156973;10
433;1668476998609979219;9
434;1668476998710553186;9
435;1668476998818668521;10
436;1668476998920779633;9
437;1668476999024874368;10
438;1668476999136898217;9
439;1668476999253183689;9
440;1668476999383401223;9
441;1668476999486354445;8
442;1668476999623956964;8
443;1668476999750287430;9
444;1668476999853674047;8
445;1668476999959660871;10
446;1668477000063416294;10
447;1668477000176001845;10
448;1668477000280313544;9
449;1668477000396151383;10
450;1668477000557938625;6
451;1668477000693781149;9
452;1668477000797348473;8
453;1668477000966752413;7
454;1668477001114472211;6
455;1668477001238626478;9
456;1668477001345438457;8
457;1668477001452979904;9
458;1668477001625680776;7
459;1668477001743610794;8
460;1668477001856011980;8
461;1668477001956811764;9
462;1668477002065139657;10
463;1668477002172822280;9
464;1668477002289025904;9
465;1668477002398100348;9
466;1668477002502230596;9
467;1668477002686781083;9
468;1668477002831655338;5
469;1668477002933504683;7
470;1668477003038794238;10
471;1668477003161972264;9
472;1668477003262442421;8
473;1668477003363008107;10
474;1668477003466108554;10
475;1668477003607725571;7
476;1668477003749836243;10
477;1668477003851394184;7
478;1668477004007791178;10
479;1668477004113668703;6
480;1668477004230566136;9
481;1668477004332674319;9
482;1668477004437297737;10
483;1668477004553910432;10
484;1668477004655826193;9
485;1668477004860763886;10
486;1668477004975964343;5
487;1668477005193616423;9
488;1668477005369225656;4
489;1668477005482771421;6
490;1668477005615049751;9
491;1668477005720308199;7
492;1668477005859232576;7
493;1668477005962683315;9
494;1668477006103649176;7
495;1668477006205171246;10
496;1668477006346142436;10
497;1668477006446972717;7
498;1668477006547874641;10
499;1668477006678553780;10
500;1668477006779674625;8
501;1668477006882026553;10
502;1668477007003392385;10
503;1668477007108119282;8
504;1668477007211944091;10
505;1668477007357823142;9
506;1668477007554195681;7
507;1668477007673645798;5
508;1668477007780880407;8
509;1668477007932001937;7
510;1668477008042051819;9
511;1668477008181711973;9
512;1668477008286655554;7
513;1668477008421431395;9
514;1668477008523603021;8
515;1668477008657886660;9
516;1668477008759797762;8
517;1668477008911217809;7
518;1668477009017980728;9
519;1668477009156083688;7
520;1668477009291576135;10
521;1668477009393110152;8
522;1668477009496753237;10
523;1668477009646670228;10
524;1668477009763421436;6
525;1668477009904362331;9
526;1668477010005958584;7
527;1668477010107873258;10
528;1668477010248680028;7
529;1668477010355109028;9
530;1668477010511524037;10
531;1668477010611614671;7
532;1668477010712189417;10
533;1668477010849272851;8
534;1668477010952306093;9
535;1668477011111582681;6
536;1668477011242127510;10
537;1668477011353798513;7
538;1668477011494695982;9
539;1668477011602751470;7
540;1668477011755540955;7
541;1668477011881580045;9
542;1668477011988376212;8
543;1668477012092054287;10
544;1668477012250187729;6
545;1668477012381359112;9
546;1668477012484987046;8
547;1668477012605905354;10
548;1668477012706862394;8
549;1668477012807972432;10
550;1668477012908308915;10
551;1668477013053767453;7
552;1668477013186755731;10
553;1668477013299521820;7
554;1668477013443457450;7
555;1668477013545396051;10
556;1668477013668061214;10
557;1668477013774926456;8
558;1668477013878864336;9
559;1668477013980189559;10
560;1668477014127115041;7
561;1668477014275911840;10
562;1668477014378236720;7
563;1668477014479673529;10
564;1668477014583025475;10
565;1668477014685901701;10
566;1668477014809099011;10
567;1668477014910312006;8
568;1668477015014799607;10
569;1668477015159843304;7
570;1668477015297521880;9
571;1668477015403479377;7
572;1668477015577839323;6
573;1668477015720073098;7
574;1668477015832658188;9
575;1668477016152851983;4
576;1668477016257343613;7
