FrameId;ReceivingTime;Fps
200;1668476970411446774;31
201;1668476970509501416;6
202;1668476970601053305;10
203;1668476970731225767;11
204;1668476970895660087;6
205;1668476970922053223;8
206;1668476971022943730;33
207;1668476971167056707;6
208;1668476971260710512;12
209;1668476971424876129;11
210;1668476971515728190;6
211;1668476971620109569;11
212;1668476971759689294;7
213;1668476971869040997;9
214;1668476972027671469;7
215;1668476972172702331;8
216;1668476972263117607;7
217;1668476972403138583;11
218;1668476972495197954;7
219;1668476972612241292;11
220;1668476972761190609;9
221;1668476972863041940;7
222;1668476973005837598;10
223;1668476973181693254;7
224;1668476973268622036;6
225;1668476973359703092;12
226;1668476973510983377;11
227;1668476973613751603;7
228;1668476973704926324;9
229;1668476973806347655;12
230;1668476973931812673;8
231;1668476974033681575;10
232;1668476974184378863;7
233;1668476974345273899;9
234;1668476974385178138;6
235;1668476974533597441;13
236;1668476974706135019;9
237;1668476974870479020;5
238;1668476974945892759;8
239;1668476975037934314;13
240;1668476975145188675;11
241;1668476975286418067;6
242;1668476975391882450;11
243;1668476975499246427;10
244;1668476975634871882;7
245;1668476975759865285;9
246;1668476975881240561;8
247;1668476975965780137;6
248;1668476976168571310;4
249;1668476976307476990;43
250;1668476976454999972;7
251;1668476976562658833;7
252;1668476976708456519;9
253;1668476976802410257;7
254;1668476976934811384;11
255;1668476977059301356;8
256;1668476977159302448;8
257;1668476977261122402;10
258;1668476977397738599;7
259;1668476977500116445;12
260;1668476977688835404;10
261;1668476977827948306;5
262;1668476977916946547;7
263;1668476978058302102;11
264;1668476978179479605;7
265;1668476978282664521;8
266;1668476978386651865;10
267;1668476978516943928;10
268;1668476978622641284;8
269;1668476978777703547;9
270;1668476978885051098;6
271;1668476979051611795;7
272;1668476979227080525;8
273;1668476979343703943;6
274;1668476979472092569;8
275;1668476979585094238;8
276;1668476979722034799;9
277;1668476979846160999;7
278;1668476979935487667;8
279;1668476980080654533;11
280;1668476980183678749;7
281;1668476980314804100;10
282;1668476980419332055;8
283;1668476980557808567;10
284;1668476980673394666;7
285;1668476980768548322;9
286;1668476980900257841;10
287;1668476981011926617;8
288;1668476981112748941;9
289;1668476981249654756;7
290;1668476981391670998;10
291;1668476981503557649;7
292;1668476981607135720;9
293;1668476981708236258;10
294;1668476981860099437;10
295;1668476981947254477;7
296;1668476982115961202;12
297;1668476982208726710;6
298;1668476982354467803;11
299;1668476982470249357;7
300;1668476982601588560;8
301;1668476982759085015;8
302;1668476982847025843;6
303;1668476982996669652;11
304;1668476983100127779;7
305;1668476983247494198;10
306;1668476983351510309;7
307;1668476983488147429;10
308;1668476983630458178;7
309;1668476983724854910;7
310;1668476983831215834;10
311;1668476983934124595;10
312;1668476984097116398;7
313;1668476984186975189;8
314;1668476984288958618;12
315;1668476984417768253;7
316;1668476984523422888;11
317;1668476984654514103;9
318;1668476984748586421;8
319;1668476984855006250;10
320;1668476984986562211;7
321;1668476985087049151;12
322;1668476985216122071;10
323;1668476985296628818;8
324;1668476985398689035;12
325;1668476985545058286;10
326;1668476985662296397;7
327;1668476985805118383;9
328;1668476985904532326;7
329;1668476986044786785;10
330;1668476986148108537;7
331;1668476986279629849;10
332;1668476986386374941;8
333;1668476986545447760;9
334;1668476986645457164;6
335;1668476986785987902;9
336;1668476986885039831;8
337;1668476987101147274;10
338;1668476987271236611;5
339;1668476987427241413;6
340;1668476987514526816;7
341;1668476987628390134;11
342;1668476987763056378;9
343;1668476987859595185;7
344;1668476988018295552;10
345;1668476988110199223;6
346;1668476988221502499;11
347;1668476988349102349;9
348;1668476988454455525;8
349;1668476988602378990;9
350;1668476988708559549;7
351;1668476988805905138;9
352;1668476988937112384;10
353;1668476989014717706;8
354;1668476989117836950;13
355;1668476989269900572;10
356;1668476989372739346;7
357;1668476989516640085;10
358;1668476989671823647;7
359;1668476989787066127;6
360;1668476989957516137;9
361;1668476990043637707;6
362;1668476990144626913;11
363;1668476990300370079;10
364;1668476990390268783;6
365;1668476990486148975;11
366;1668476990590487198;11
367;1668476990734136708;10
368;1668476990852752900;7
369;1668476991008078954;8
370;1668476991092640224;6
371;1668476991193218654;12
372;1668476991336739300;10
373;1668476991429095335;7
374;1668476991578281883;11
375;1668476991685196291;7
